Time(S),GPU0_Power(W)
0.00,113.00
0.00,113.00
0.20,128.00
0.40,130.00
0.60,97.00
0.80,86.00
1.00,81.00
1.20,80.00
1.40,114.00
1.60,95.00
1.80,88.00
2.00,115.00
2.20,85.00
2.40,81.00
2.60,80.00
2.80,80.00
3.00,80.00
3.20,99.00
3.40,90.00
3.60,98.00
3.80,147.00
4.00,179.00
4.20,190.00
4.40,130.00
4.60,87.00
4.80,81.00
5.00,80.00
5.20,80.00
5.40,100.00
5.60,95.00
5.80,82.00
6.00,80.00
6.20,80.00
6.40,80.00
6.60,80.00
6.80,81.00
7.00,80.00
7.20,115.00
7.40,169.00
7.60,178.00
7.80,180.00
8.00,180.00
8.20,180.00
8.40,180.00
8.60,180.00
8.80,181.00
9.00,181.00
9.20,180.00
9.40,180.00
9.60,180.00
9.80,181.00
10.00,180.00
10.20,181.00
10.40,181.00
10.60,180.00
10.80,181.00
11.00,181.00
11.20,181.00
11.40,181.00
11.60,181.00
11.80,181.00
12.00,181.00
12.20,180.00
12.40,181.00
12.60,181.00
12.80,180.00
13.00,180.00
13.20,180.00
13.40,181.00
13.60,181.00
13.80,180.00
14.00,181.00
14.20,181.00
14.40,181.00
14.60,181.00
14.80,181.00
15.00,181.00
15.21,181.00
15.41,180.00
15.61,180.00
15.81,181.00
16.01,181.00
16.21,181.00
16.41,181.00
16.61,181.00
16.81,180.00
17.01,180.00
17.21,181.00
17.41,180.00
17.61,180.00
17.81,180.00
18.01,180.00
18.21,181.00
18.41,181.00
18.61,180.00
18.81,180.00
19.01,180.00
19.21,180.00
19.41,180.00
19.61,181.00
19.81,180.00
20.01,181.00
20.21,181.00
20.41,181.00
20.61,181.00
20.81,181.00
21.01,181.00
21.21,181.00
21.41,181.00
21.61,180.00
21.81,181.00
22.01,180.00
22.21,180.00
22.41,180.00
22.61,180.00
22.81,180.00
23.01,180.00
23.21,180.00
23.41,180.00
23.61,180.00
23.81,181.00
24.01,181.00
24.21,181.00
24.41,180.00
24.61,181.00
24.81,181.00
25.01,180.00
25.21,180.00
25.41,180.00
25.61,180.00
25.81,181.00
26.01,181.00
26.21,181.00
26.41,180.00
26.61,180.00
26.81,181.00
27.01,181.00
27.21,181.00
27.41,181.00
27.61,181.00
27.81,181.00
28.01,180.00
28.21,181.00
28.41,181.00
28.61,181.00
28.81,180.00
29.01,181.00
29.21,181.00
29.41,181.00
29.61,180.00
29.81,181.00
30.01,180.00
30.21,180.00
30.41,180.00
30.61,180.00
30.81,181.00
31.01,181.00
31.21,180.00
31.41,180.00
31.61,181.00
31.81,181.00
32.01,181.00
32.21,181.00
32.41,181.00
32.61,181.00
32.81,181.00
33.01,180.00
33.21,181.00
33.41,181.00
33.61,181.00
33.81,181.00
34.01,181.00
34.21,181.00
34.41,181.00
34.61,181.00
34.81,180.00
35.01,180.00
35.21,180.00
35.41,181.00
35.61,181.00
35.81,181.00
36.01,190.00
36.21,184.00
36.41,181.00
36.61,181.00
36.81,181.00
37.01,181.00
37.21,181.00
37.41,181.00
37.61,181.00
37.81,181.00
38.01,181.00
38.21,181.00
38.41,181.00
38.61,180.00
38.81,181.00
39.01,181.00
39.21,181.00
39.41,180.00
39.61,180.00
39.81,181.00
40.01,181.00
40.21,180.00
40.41,180.00
40.61,181.00
40.81,180.00
41.01,181.00
41.21,181.00
41.41,181.00
41.61,181.00
41.81,181.00
42.01,181.00
42.21,181.00
42.41,181.00
42.61,181.00
42.81,181.00
43.01,180.00
43.21,181.00
43.41,181.00
43.61,181.00
43.81,181.00
44.01,181.00
44.21,181.00
44.41,181.00
44.61,181.00
44.81,181.00
45.01,181.00
45.21,181.00
45.41,181.00
45.61,181.00
45.81,181.00
46.01,181.00
46.21,181.00
46.41,181.00
46.61,181.00
46.81,181.00
47.01,181.00
47.21,181.00
47.41,181.00
47.61,181.00
47.81,181.00
48.01,181.00
48.21,180.00
48.41,181.00
48.61,181.00
48.81,181.00
49.01,181.00
49.21,181.00
49.41,181.00
49.61,181.00
49.81,181.00
50.01,181.00
50.21,181.00
50.41,181.00
50.61,181.00
50.81,181.00
51.01,181.00
51.21,181.00
51.41,181.00
51.61,181.00
51.81,180.00
52.01,181.00
52.21,180.00
52.41,181.00
52.61,181.00
52.81,181.00
53.01,181.00
53.21,181.00
53.41,180.00
53.61,181.00
53.81,180.00
54.01,180.00
54.21,180.00
54.41,180.00
54.61,181.00
54.81,181.00
55.01,181.00
55.21,181.00
55.41,180.00
55.61,180.00
55.81,180.00
56.01,181.00
56.21,181.00
56.41,181.00
56.61,180.00
56.81,180.00
57.01,181.00
57.21,181.00
57.41,181.00
57.61,180.00
57.81,181.00
58.01,181.00
58.21,181.00
58.41,181.00
58.61,180.00
58.81,180.00
59.01,181.00
59.21,181.00
59.41,181.00
59.61,181.00
59.81,181.00
60.01,181.00
60.21,180.00
60.41,181.00
60.61,181.00
60.81,181.00
61.01,181.00
61.21,181.00
61.41,181.00
61.61,181.00
61.81,181.00
62.01,181.00
62.21,181.00
62.41,181.00
62.62,181.00
62.82,181.00
63.02,181.00
63.22,181.00
63.42,181.00
63.62,180.00
63.82,181.00
64.02,181.00
64.22,181.00
64.42,181.00
64.62,181.00
